"Problem","DateModified","Initials","SequenceNumber","NEWLOC","MAPLOC","DEPOSIT","Latitude","Longitude","Location_type","DMSLAT","DMSLONG","24kquad","100kQuad","CountyName","LandOwner","FSAgencyName","OrangeNum","1x2degreeQuadrangle","lon_WGS84","lat_WGS84","TOWNSHIP","RANGE","SECTION","QSECTION","OBJECTID","ZIP_CODE","Mining_District","Hard_File"
,,,"CH0061","CH0061","  61","Golden Giant Prospect",44.9408,-115.1592,0,445627,1150933,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","59","CH",-115.159999266,44.9406336305,"019N","011E",31,"NW",773,83638,"Thunder Mountain","NO"
,,,"CH0062","CH0062","  62","Climax Prospect",44.9419,-115.1517,0,445631,1150906,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","51","CH",-115.15249907,44.94173367579999,"019N","011E",31,"NW",774,83638,"Thunder Mountain","NO"
,,,"CH0063","CH0063","  63","Mollie Prospect",44.9392,-115.1503,0,445621,1150901,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","60","CH",-115.151098993,44.9390337032,"019N","011E",31,"NW",775,83638,"Thunder Mountain","NO"
,,,"CH0064","CH0064","  64","Golden Coin Group",44.9372,-115.1464,0,445614,1150847,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","61","CH",-115.147198856,44.9370337436,"019N","011E",32,"SW",776,83638,"Thunder Mountain","NO"
,,,"CH0065","CH0065","  65","Venable Mine",44.96437,-115.12356,3,445752,1150725,"SAFETY CREEK","PISTOL CREEK ","VALLEY","U.S. Forest Service",,"30","CH",-115.12435859,44.9642037265,"019N","011E",21,"SW",777,83638,"Thunder Mountain","YES"
,,,"CH0066","CH0066","  66","Rising Star Prospect",44.9633,-115.1336,0,445748,1150801,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","31","CH",-115.134398858,44.9631336632,"019N","011E",20,"ALL",778,83638,"Thunder Mountain","NO"
,,,"CH0067","CH0067","  67","Short Line Prospect",44.9606,-115.1336,0,445738,1150801,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service",,"33","CH",-115.13439882,44.9604336807,"019N","011E",29,"NE",779,83638,"Thunder Mountain","NO"
,,,"CH0068","CH0068","  68","Jumbo Prospect",44.9608,-115.1308,0,445739,1150751,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service",,"32","CH",-115.131598744,44.960633699,"019N","011E",29,"NE",780,83638,"Thunder Mountain","NO"
,,,"CH0069","CH0069","  69","Sunnyside Mine (Thunder Mountain)",44.95611,-115.13056,3,445722,1150750,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","40","CH",-115.131358672,44.9559437311,"019N","011E",29,"SE",781,83638,"Thunder Mountain","YES"
,,,"CH0070","CH0070","  70","Standard Mine",44.95086,-115.13851,3,445703,1150819,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","52","CH",-115.139308823,44.9506937097,"019N","011E",29,"SW",782,83638,"Thunder Mountain","NO"
,,,"CH0071","CH0071","  71","H-Y Prospect (Climax)",44.9467,-115.14,0,445648,1150824,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","53","CH",-115.140798807,44.9465337263,"019N","011E",32,"SW",783,83638,"Thunder Mountain","NO"
,,,"CH0072","CH0072","  72","Red Bird Prospect",44.9461,-115.1325,0,445646,1150757,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","55","CH",-115.133298588,44.9459337827,"019N","011E",32,"SW",784,83638,"Thunder Mountain","NO"
,,,"CH0073","CH0073","  73","Terrible Teddy Prospect",44.9492,-115.1233,0,445657,1150724,"SAFETY CREEK","PISTOL CREEK ","VALLEY","U.S. Forest Service",,"54","CH",-115.124098372,44.9490338268,"019N","011E",28,"NE",785,83638,"","NO"
,,,"CH0074","CH0074","  74","Unknown prospects",44.9503,-115.1106,0,445701,1150638,"SAFETY CREEK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF",,"CH",-115.11139803,44.9501339084,"019N","011E",28,"NE",786,83638,"","NO"
,,,"CH0075","CH0075","  75","Ethal B. Prospect",44.9453,-115.1247,0,445643,1150729,"SAFETY CREEK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","56","CH",-115.125498357,44.9451338424,"019N","011E",33,"NE",787,83638,"","NO"
,,,"CH0076","CH0076","  76","Cinnamon Bear Prospect",44.9428,-115.1275,0,445634,1150739,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","57","CH",-115.128298402,44.9426338392,"019N","011E",32,"SW",788,83638,"","NO"
,,,"CH0077","CH0077","  77","North Fork Prospect",44.9425,-115.1381,0,445633,1150817,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","58","CH",-115.138898696,44.94233376699999,"019N","011E",32,"SW",789,83638,"Thunder Mountain","NO"
,,,"CH0078","CH0078","  78","Gold Nugget Prospect",44.93,-115.1508,0,445548,1150903,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","74","CH",-115.15159888,44.9298337599,"018N","011E",6,"ALL",790,83638,"Thunder Mountain","NO"
,,,"CH0079","CH0079","  79","Gold Dike Prospect",44.9294,-115.16,0,445546,1150936,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","75","CH",-115.16079913,44.9292336995,"018N","011E",6,"ALL",791,83638,"Thunder Mountain","NO"
,,,"CH0080","CH0080","  80","Pearl Prospect",44.9264,-115.1558,0,445535,1150921,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","77","CH",-115.156598971,44.9262337486,"018N","011E",6,"ALL",792,83638,"Thunder Mountain","NO"
,,,"CH0081","CH0081","  81","Morning Prospect",44.9267,-115.1494,0,445536,1150858,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","76","CH",-115.150198795,44.9265337914,"018N","011E",6,"ALL",793,83638,"Thunder Mountain","NO"
,,,"CH0082","CH0082","  82","Lark Prospect",44.9244,-115.1469,0,445528,1150849,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","79","CH",-115.147698693,44.9242338239,"018N","011E",6,"ALL",794,83638,"Thunder Mountain","NO"
,,,"CH0083","CH0083","  83","Little Joe Prospect",44.9256,-115.1528,0,445532,1150910,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","78","CH",-115.153598875,44.9254337748,"018N","011E",6,"ALL",795,83638,"Thunder Mountain","NO"
,,,"CH0084","CH0084","  84","Hold Out Prospect",44.9225,-115.1497,0,445521,1150859,"RAINBOW PEAK","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","80","CH",-115.150498745,44.9223338168,"018N","011E",6,"ALL",796,83638,"Thunder Mountain","NO"
,,,"CH0085","CH0085","  85","Red Jacket Mine",44.99406,-114.53349,3,445939,1143201,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service",,"81","CH",-114.534272335,44.99389762019999,"019N","016E",13,"ALL",797,83469,"Yellowjacket","NO"
,,,"CH0086","CH0086","  86","Unnamed prospect",44.9944,-114.5656,0,445940,1143356,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF",,"CH",-114.566383249,44.99423739789999,"019N","016E",15,"ALL",798,83469,"Yellowjacket","NO"
,,,"CH0087","CH0087","  87","Yellowjacket Mine",44.9875,-114.51944,3,445915,1143110,"YELLOW JACKET","CHALLIS ","LEMHI","Private","Salmon NF","95","CH",-114.520221848,44.9873377581,"019N","017E",7,"ALL",799,83469,"Yellowjacket","YES"
,,,"CH0088","CH0088","  88","Yellow Jacket Placers",44.9853,-114.5214,0,445907,1143117,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","96","CH",-114.522181874,44.9851377587,"019N","017E",7,"ALL",800,83469,"Yellowjacket","NO"
,,,"CH0089","CH0089","  89","Upper Yellowjacket",44.9839,-114.5242,0,445902,1143127,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","94","CH",-114.524981934,44.9837377484,"019N","016E",13,"ALL",801,83469,"Yellowjacket","NO"
,,,"CH0090","CH0090","  90","Cracker Jack Prospect (Crackerjack)",44.9758,-114.5656,0,445833,1143356,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF",,"CH",-114.566382996,44.97563751649999,"019N","016E",22,"ALL",802,83469,"Yellowjacket","NO"
,,,"CH0091","CH0091","  91","Mammoth Mine (Hisey; Ohio)",44.9742,-114.5611,0,445827,1143340,"YELLOW JACKET","CHALLIS ","LEMHI","Private","Salmon NF","90","CH",-114.561882847,44.9740375576,"019N","016E",23,"ALL",803,83469,"Yellowjacket","NO"
,,,"CH0092","CH0092","  92","Daniel Prospect",44.97788,-114.54975,3,445840,1143259,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","84","CH",-114.550532576,44.9777176118,"019N","016E",23,"ALL",804,83469,"Yellowjacket","NO"
,,,"CH0093","CH0093","  93","Columbia Mine (New Columbia; Columbia-Centennial; Silver Moon)",44.98184,-114.54751,3,445855,1143251,"YELLOW JACKET","CHALLIS ","LEMHI","Private","Salmon NF","83","CH",-114.548292566,44.9816776019,"019N","016E",14,"ALL",805,83469,"Yellowjacket","NO"
,,,"CH0094","CH0094","  94","Liberty Mine",44.9779,-114.54428,3,445840,1143239,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","82","CH",-114.545062421,44.97773764919999,"019N","016E",24,"ALL",806,83469,"Yellowjacket","NO"
,,,"CH0095","CH0095","  95","Lincoln Mine (Steen Group)",44.97778,-114.54238,3,445840,1143233,"YELLOW JACKET","CHALLIS ","LEMHI","Private","Salmon NF","85","CH",-114.543162366,44.977617663,"019N","016E",24,"ALL",807,83469,"Yellowjacket","NO"
,,,"CH0096","CH0096","  96","Continental Mine (Steen Group)",44.97717,-114.53921,3,445838,1143221,"YELLOW JACKET","CHALLIS ","LEMHI","Private","Salmon NF","86","CH",-114.539992268,44.9770076886,"019N","016E",24,"ALL",808,83469,"Yellowjacket","YES"
,,,"CH0097","CH0097","  97","Steen Mine (Steen Group; Steen Family; Lincoln; Liberty; Continental; Broken Hill; Red Bird)",44.97611,-114.53444,3,445834,1143204,"YELLOW JACKET","CHALLIS ","LEMHI","Private","Salmon NF","87","CH",-114.535222118,44.97594772799999,"019N","016E",24,"ALL",809,83469,"Yellowjacket","NO"
,,,"CH0098","CH0098","  98","Merritt Mine",44.9781,-114.5303,0,445841,1143149,"YELLOW JACKET","CHALLIS ","LEMHI","Private","Salmon NF","98","CH",-114.531082028,44.9779377437,"019N","016E",24,"ALL",810,83469,"Yellowjacket",
,,,"CH0099","CH0099","  99","Broken Hill Mine (Steen Group)",44.9747,-114.5403,0,445829,1143225,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","91","CH",-114.541082265,44.97453769689999,"019N","016E",24,"ALL",811,83469,"Yellowjacket","NO"
,,,"CH0100","CH0100"," 100","Bryan Mine (Brough Property)",44.9747,-114.535,0,445829,1143206,"YELLOW JACKET","CHALLIS ","LEMHI","Private","Salmon NF","88","CH",-114.535782115,44.97453773319999,"019N","016E",24,"ALL",812,83469,"Yellowjacket","NO"
,,,"CH0101","CH0101"," 101","Snowstorm Prospects (Brough Property)",44.9739,-114.5314,0,445826,1143153,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","89","CH",-114.532182002,44.973737763,"019N","016E",24,"ALL",813,83469,"Yellowjacket","NO"
,,,"CH0102","CH0102"," 102","White Rabbit Prospect",44.9706,-114.5436,0,445814,1143237,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","92","CH",-114.544382303,44.9704377005,"019N","016E",24,"ALL",814,83469,"Yellowjacket","NO"
,,,"CH0103","CH0103"," 103","Tin Cup Mine",44.96744,-114.53236,0,445803,1143156,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","93","CH",-114.533141941,44.9672777977,"019N","016E",24,"ALL",815,83469,"Yellowjacket","NO"
,,,"CH0104","CH0104"," 104","Grubstake Mine",44.9642,-114.5303,0,445751,1143149,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","808","CH",-114.531081839,44.9640378326,"019N","016E",25,"ALL",816,83469,"Yellowjacket","NO"
,,,"CH0105","CH0105"," 105","Topham Placer",44.9586,-114.5489,0,445731,1143256,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF",,"CH",-114.549682289,44.9584377411,"019N","016E",26,"ALL",817,83469,"Yellowjacket","NO"
,,,"CH0106","CH0106"," 106","High Bar Placer",44.9544,-114.5583,0,445716,1143330,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","98","CH",-114.559082498,44.9542377037,"019N","016E",26,"ALL",818,83469,"Yellowjacket","NO"
,,,"CH0107","CH0107"," 107","Comeback Mine (Lead Star; Ridge)",44.9819,-114.5014,0,445855,1143005,"YELLOW JACKET","CHALLIS ","LEMHI","Private","Salmon NF","101","CH",-114.502181261,44.98173791719999,"019N","017E",17,"ALL",819,83469,"Yellowjacket","NO"
,,,"CH0108","CH0108"," 108","Slaughterhouse",44.9781,-114.5028,0,445841,1143010,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","98","CH",-114.503581249,44.97793793189999,"019N","017E",17,"ALL",820,83469,"Yellowjacket","NO"
,,,"CH0109","CH0109"," 109","Gem (Yellowjacket Group)",44.9742,-114.5036,0,445827,1143013,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","97","CH",-114.504381219,44.9740379513,"019N","017E",17,"ALL",821,83469,"Yellowjacket","NO"
,,,"CH0110","CH0110"," 110","Copper Glance Mine (Idaho)",44.97145,-114.50087,3,445817,1143003,"YELLOW JACKET","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","99","CH",-114.501651104,44.9712879875,"019N","017E",17,"ALL",822,83469,"Yellowjacket","YES"
,,,"CH0111","CH0111"," 111","Diamond Queen Mine (Gold Bug)",44.9622,-114.4978,0,445744,1142952,"DUCK CREEK POINT","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","100","CH",-114.498580892,44.96203806779999,"019N","017E",20,"ALL",823,83469,"Yellowjacket","NO"
,,,"CH0112","CH0112"," 112","Gladstone Gulch (Yellowjacket Group)",44.9778,-114.4942,0,445840,1142939,"DUCK CREEK POINT","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","102","CH",-114.494981002,44.97763799259999,"019N","017E",17,"ALL",824,83469,"Yellowjacket","NO"
,,,"CH0113","CH0113"," 113","Blue Jacket (Yellowjacket Group)",44.98306,-114.41917,0,445859,1142509,"DUCK CREEK POINT","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","104","CH",-114.419948948,44.98289847149999,"019N","017E",13,"ALL",825,83469,"Gravel Range","NO"
,,,"CH0114","CH0114"," 114","Pitkin (Yellowjacket Group)",44.9758,-114.4875,0,445833,1142915,"DUCK CREEK POINT","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","103","CH",-114.488280785,44.97563805119999,"019N","017E",17,"ALL",826,83469,"Yellowjacket","NO"
,,,"CH0115","CH0115"," 115","Peterson Prospect",44.9517,-115.2975,0,445706,1151751,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","105","CH",-115.298303307,44.951532589,"019N","009E",25,"SE",827,83677,"Edwardsburg","NO"
,,,"CH0116","CH0116"," 116","Stibnite Prospect (Antimony Prospects)",44.9486,-115.3083,0,445655,1151830,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","106","CH",-115.309103568,44.9484325332,"019N","009E",25,"SW",828,83677,"Edwardsburg","NO"
,,,"CH0117","CH0117"," 117","Howdy Dowdy Claim",44.9456,-115.3142,0,445644,1151851,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF",,"CH",-115.315003692,44.9454325113,"019N","009E",35,"NE",829,83677,"Edwardsburg","NO"
,,,"CH0118","CH0118"," 118","Kennedy Prospects (Joe Davis; Golden Way Up)",44.945,-115.31,0,445642,1151836,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","107","CH",-115.310803565,44.94483254479999,"019N","009E",36,"NW",830,83677,"Edwardsburg","NO"
,,,"CH0119","CH0119"," 119","Bonanza Prospect (Bonanza Ledge; Sugar Creek Antimony Prospect)",44.945,-115.3169,0,445642,1151901,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","109","CH",-115.317703759,44.94483249619999,"019N","009E",35,"NE",831,83677,"Edwardsburg",
,,,"CH0120","CH0120"," 120","Madam Queen Prospect",44.9425,-115.3228,0,445633,1151922,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","109","CH",-115.32360389,44.94233247109999,"019N","009E",35,"NW",832,83677,"Edwardsburg","NO"
,,,"CH0121","CH0121"," 121","Kennedy Mica Ledge",44.9433,-115.3111,0,445636,1151840,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF",,"CH",-115.311903572,44.9431325482,"019N","009E",35,"NE",833,83677,"Edwardsburg","NO"
,,,"CH0122","CH0122"," 122","Oberbillig Deposit",44.9386,-115.3228,0,445619,1151922,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","424","CH",-115.323603836,44.93843249659999,"019N","009E",35,"SW",834,83677,"Edwardsburg","YES"
,,,"CH0123","CH0123"," 123","Nethken Prospects (No Name)",44.9353,-115.3331,0,445607,1151959,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service",,"110","CH",-115.333904079,44.93513244579999,"019N","009E",34,"SE",835,83677,"Edwardsburg","NO"
,,,"CH0124","CH0124"," 124","Homestake Prospect",44.9325,-115.3269,0,445557,1151937,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service",,"111","CH",-115.327703866,44.9323325078,"018N","009E",2,"NW",836,83677,"Edwardsburg","NO"
,,,"CH0125","CH0125"," 125","Hard Climb Prospect",44.9306,-115.3208,0,445550,1151915,"STIBNITE","PISTOL CREEK ","VALLEY","Private","Payette NF","498","CH",-115.321603668,44.93043256319999,"018N","009E",2,"NE",837,83677,"Edwardsburg","NO"
,,,"CH0126","CH0126"," 126","West End Mine (West End Creek Prospects; Stibnite Mine)",44.93139,-115.31722,3,445553,1151902,"STIBNITE","PISTOL CREEK ","VALLEY","Private","Payette NF",,"CH",-115.318023578,44.9312225832,"018N","009E",2,"NE",838,83677,"Edwardsburg","YES"
,,,"CH0127","CH0127"," 127","Yellow Pine Mine (Hennessy Lode; Hennessy Camp Lode; Idaho Tungsten Mine; Great Northern)",44.92718,-115.33454,3,445538,1152004,"STIBNITE","PISTOL CREEK ","VALLEY","Private",,"112","CH",-115.335344006,44.927012489,"018N","009E",3,"NE",839,83677,"Yellow Pine","YES"
,,,"CH0128","CH0128"," 128","Monday Prospect",44.9239,-115.3367,0,445526,1152012,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service",,"114","CH",-115.337504021,44.9237324954,"018N","009E",3,"SE",840,83638,"Yellow Pine","NO"
,,,"CH0129","CH0129"," 129","North Monday Prospect (Cinnabar)",44.9244,-115.3303,0,445528,1151949,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","115","CH",-115.331103848,44.9242325372,"018N","009E",2,"SW",841,83677,"Yellow Pine","NO"
,,,"CH0130","CH0130"," 130","Midnight Prospect",44.9242,-115.3233,0,445527,1151924,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF",,"CH",-115.324103649,44.9240325878,"018N","009E",2,"SW",842,83677,"Yellow Pine","NO"
,,,"CH0131","CH0131"," 131","North Tunnel Prospect",44.91638,-115.33733,3,445459,1152014,"STIBNITE","PISTOL CREEK ","VALLEY","Private","Boise NF","116","CH",-115.338133934,44.91621254059999,"018N","009E",10,"NE",843,83638,"Yellow Pine","NO"
,,,"CH0132","CH0132"," 132","Sulfide No. 10 Prospect",44.9047,-115.3303,0,445417,1151949,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Boise NF","117","CH",-115.331103574,44.9045326673,"018N","009E",14,"NW",844,83638,"Yellow Pine","NO"
,,,"CH0133","CH0133"," 133","Meadow Creek Mine",44.90034,-115.33281,3,445401,1151958,"STIBNITE","PISTOL CREEK ","VALLEY","Private",,"118","CH",-115.333613583,44.90017267859999,"018N","009E",15,"NE",845,83638,"Yellow Pine","YES"
,,,"CH0134","CH0134"," 134","Garnet Creek Prospect (Murray Prospect)",44.90909,-115.315,3,445433,1151854,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","119","CH",-115.315803205,44.9089227459,"018N","009E",11,"SE",846,83677,"Yellow Pine","YES"
,,,"CH0135","CH0135"," 135","Doris K. Prospect",44.905,-115.3056,0,445418,1151820,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","120","CH",-115.306402884,44.9048328391,"018N","009E",12,"SW",847,83677,"Yellow Pine","NO"
,,,"CH0136","CH0136"," 136","Unnamed prospect",44.9444,-115.2719,0,445640,1151619,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF",,"CH",-115.272702486,44.9442328166,"019N","010E",31,"ALL",848,83677,"Edwardsburg","NO"
,,,"CH0137","CH0137"," 137","Hermes Mine (Cinnabar; Bonanza; Smith; Pringle Smith; Monumental Tunnel)",44.91853,-115.28937,3,445507,1151722,"STIBNITE","PISTOL CREEK ","VALLEY","Private",,"121","CH",-115.290172617,44.9183628637,"018N","010E",7,"NW",849,83677,"Yellow Pine","YES"
,,,"CH0138","CH0138"," 138","Unnamed prospect",44.9364,-115.2731,0,445611,1151623,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF",,"CH",-115.273902408,44.93623286059999,"019N","010E",31,"ALL",850,83677,"Yellow Pine","NO"
,,,"CH0139","CH0139"," 139","Doris K. No. 3 Prospect",44.9147,-115.3044,0,445453,1151816,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","120","CH",-115.305202986,44.9145327834,"018N","009E",12,"NW",851,83677,"Yellow Pine","NO"
,,,"CH0140","CH0140"," 140","Silver Bow Prospect (Hennessy Prospect)",44.9128,-115.2931,0,445446,1151735,"STIBNITE","PISTOL CREEK ","VALLEY","Private","Payette NF","123","CH",-115.293902642,44.9126328753,"018N","009E",12,"NE",852,83677,"Yellow Pine","NO"
,,,"CH0141","CH0141"," 141","Fern Mine (Fern Quicksilver Mining Co.)",44.90892,-115.28947,3,445432,1151722,"STIBNITE","PISTOL CREEK ","VALLEY","Private",,"124","CH",-115.290272486,44.90875292649999,"018N","010E",7,"SW",853,83677,"Yellow Pine","YES"
,,,"CH0142","CH0142"," 142","Bucks Bed Prospect (Buckbed)",44.90746,-115.28462,3,445427,1151705,"STIBNITE","PISTOL CREEK ","VALLEY","Private",,"125","CH",-115.285422329,44.9072929702,"018N","010E",7,"SW",854,83677,"Yellow Pine","NO"
,,,"CH0143","CH0143"," 143","White Metal Prospect",44.9068,-115.28307,3,445424,1151659,"STIBNITE","PISTOL CREEK ","VALLEY","Private",,"126","CH",-115.283872276,44.9066329855,"018N","010E",7,"SW",855,83677,"Yellow Pine","NO"
,,,"CH0144","CH0144"," 144","Vermillion Mine (H.T. Abstein's Property)",44.90799,-115.27756,3,445429,1151639,"STIBNITE","PISTOL CREEK ","VALLEY","Private",,"127","CH",-115.278362138,44.90782301629999,"018N","010E",7,"SE",856,83677,"Yellow Pine","NO"
,,,"CH0145","CH0145"," 145","Mountain Chief Prospect",44.9017,-115.2858,0,445406,1151709,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","129","CH",-115.286602282,44.9015330001,"018N","010E",18,"NE",857,83677,"Yellow Pine","NO"
,,,"CH0146","CH0146"," 146","Monumental Summit Rare-Earth Prospect",44.9003,-115.2789,0,445401,1151644,"STIBNITE","PISTOL CREEK ","VALLEY","U.S. Forest Service","Payette NF","130","CH",-115.279702069,44.9001330578,"018N","010E",18,"NE",858,83638,"Yellow Pine","NO"
,,,"CH0147","CH0147"," 147","Connector No. 3 (Fluorspar Mines)",44.8678,-114.5511,0,445204,1143304,"MEYERS COVE","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","131","CH",-114.551881121,44.8676383177,"018N","016E",26,"ALL",859,83469,"","NO"
,,,"CH0148","CH0148"," 148","Switchback",44.8647,-114.5275,0,445153,1143139,"MEYERS COVE","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF",,"CH",-114.528280412,44.86453849949999,"018N","016E",25,"ALL",860,83469,"","NO"
,,,"CH0149","CH0149"," 149","East Fluorspar Lode (N.E. Fluorspar)",44.8622,-114.5222,0,445144,1143120,"MEYERS COVE","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","141","CH",-114.522980229,44.8620385523,"018N","017E",30,"ALL",861,83469,"Gravel Range","NO"
,,,"CH0150","CH0150"," 150","Fluorspar Property",44.8608,-114.5292,0,445139,1143145,"MEYERS COVE","CHALLIS ","LEMHI","U.S. Forest Service","Salmon NF","142","CH",-114.529980407,44.8606385137,"018N","016E",36,"ALL",862,83469,"","NO"
,,,"CH0151","CH0151"," 151","Red Spar No. 2 Lode",44.8544,-114.5397,0,445116,1143223,"MEYERS COVE","CHALLIS ","LEMHI","U.S. Forest Service","Challis NF","133","CH",-114.540480618,44.8542384843,"018N","016E",36,"ALL",863,83469,"","NO"
,,,"CH0152","CH0152"," 152","Red Spar Lode (Chamac; Red Spar Mine)",44.85574,-114.53604,3,445121,1143210,"MEYERS COVE","CHALLIS ","LEMHI","Private","Challis NF","132","CH",-114.536820532,44.85557850049999,"018N","016E",36,"ALL",864,83469,"","YES"
,,,"CH0153","CH0153"," 153","Red Spar Extension Lode (Red Spar No. 3 Extension)",44.8522,-114.5408,0,445108,1143227,"MEYERS COVE","CHALLIS ","LEMHI","U.S. Forest Service","Challis NF","134","CH",-114.541580619,44.85203849139999,"018N","016E",36,"ALL",865,83469,"","NO"
,,,"CH0154","CH0154"," 154","Purple Spar Extension Lode (Purple Spar Nos. 3 and 4 Extension)",44.8522,-114.5383,0,445108,1143218,"MEYERS COVE","CHALLIS ","LEMHI","U.S. Forest Service",,"135","CH",-114.539080548,44.85203850849999,"018N","016E",36,"ALL",866,83469,"","NO"
,,,"CH0155","CH0155"," 155","Purple Spar Lode",44.8528,-114.5356,0,445110,1143208,"MEYERS COVE","CHALLIS ","LEMHI","U.S. Forest Service",,"136","CH",-114.53638048,44.852638523,"018N","016E",36,"ALL",867,83469,"","NO"
,,,"CH0156","CH0156"," 156","Purple Spar No. 2 Lode",44.8492,-114.5361,0,445057,1143210,"MEYERS COVE","CHALLIS ","LEMHI","U.S. Forest Service","Challis NF","137","CH",-114.536880446,44.8490385434,"018N","016E",36,"ALL",868,83469,"","NO"
