"SequenceNumber","Ref_id","PageNumbers","Reference","NotesForReferenceUpdate2015"
"CH0835",1478,,"USGS, Chilcoot Peak 7.5-min. quad. topo. map.",
"CH0836",1034,,"USBM, n.d., USBM files.",
"CH0837",1478,,"USGS, Chilcoot Peak 7.5-min. quad. topo. map.",
"CH0838",1659,,"USGS, Yellow Pine 15-min. quad. topo. map.",
"CH0839",140,,"Cater and others, 1973, USGS B-1304.",
"CH0840",140,,"Cater and others, 1973, USGS B-1304.",
"CH0841",767,,"No reference.",
"CH0842",140,,"Cater and others, 1973, USGS B-1304.",
"CH0843",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0844",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0845",32,,"Anderson, 1953, IBMG P-94.",
"CH0846",140,,"Cater and others, 1973, USGS B-1304.",
"CH0847",140,,"Cater and others, 1973, USGS B-1304.",
"CH0848",140,,"Cater and others, 1973, USGS B-1304.",
"CH0849",140,,"Cater and others, 1973, USGS B-1304.",
"CH0850",140,,"Cater and others, 1973, USGS B-1304.",
"CH0851",1131,,"USBM, n.d., WFOC MPF-30.077.",
"CH0852",140,,"Cater and others, 1973, USGS B-1304.",
"CH0853",140,,"Cater and others, 1973, USGS B-1304.",
"CH0854",147,,"Choate, 1961, IGS Mineral Property Files.",
"CH0855",140,,"Cater and others, 1973, USGS B-1304.",
"CH0856",1131,,"USBM, n.d., WFOC MPF-30.077.",
"CH0857",140,,"Cater and others, 1973, USGS B-1304.",
"CH0858",140,,"Cater and others, 1973, USGS B-1304.",
"CH0859",140,,"Cater and others, 1973, USGS B-1304.",
"CH0860",140,,"Cater and others, 1973, USGS B-1304.",
"CH0861",140,,"Cater and others, 1973, USGS B-1304.",
"CH0862",140,,"Cater and others, 1973, USGS B-1304.",
"CH0863",140,,"Cater and others, 1973, USGS B-1304.",
"CH0864",140,,"Cater and others, 1973, USGS B-1304.",
"CH0865",140,,"Cater and others, 1973, USGS B-1304.",
"CH0866",140,,"Cater and others, 1973, USGS B-1304.",
"CH0867",140,,"Cater and others, 1973, USGS B-1304.",
"CH0868",140,,"Cater and others, 1973, USGS B-1304.",
"CH0869",140,,"Cater and others, 1973, USGS B-1304.",
"CH0870",140,,"Cater and others, 1973, USGS B-1304.",
"CH0871",140,,"Cater and others, 1973, USGS B-1304.",
"CH0872",140,,"Cater and others, 1973, USGS B-1304.",
"CH0873",140,,"Cater and others, 1973, USGS B-1304.",
"CH0874",140,,"Cater and others, 1973, USGS B-1304.",
"CH0875",140,,"Cater and others, 1973, USGS B-1304.",
"CH0876",1131,,"USBM, n.d., WFOC MPF-30.077.",
"CH0877",140,,"Cater and others, 1973, USGS B-1304.",
"CH0878",140,,"Cater and others, 1973, USGS B-1304.",
"CH0879",140,,"Cater and others, 1973, USGS B-1304.",
"CH0880",140,,"Cater and others, 1973, USGS B-1304.",
"CH0881",140,,"Cater and others, 1973, USGS B-1304.",
"CH0882",140,,"Cater and others, 1973, USGS B-1304.",
"CH0883",1030,,"USBM, n.d., MSHA ID No. 10 01314.",
"CH0884",140,,"Cater and others, 1973, USGS B-1304.",
"CH0885",140,,"Cater and others, 1973, USGS B-1304.",
"CH0886",140,,"Cater and others, 1973, USGS B-1304.",
"CH0887",140,,"Cater and others, 1973, USGS B-1304.",
"CH0888",140,,"Cater and others, 1973, USGS B-1304.",
"CH0889",140,,"Cater and others, 1973, USGS B-1304.",
"CH0890",140,,"Cater and others, 1973, USGS B-1304.",
"CH0891",140,,"Cater and others, 1973, USGS B-1304.",
"CH0892",140,,"Cater and others, 1973, USGS B-1304.",
"CH0893",140,,"Cater and others, 1973, USGS B-1304.",
"CH0894",140,,"Cater and others, 1973, USGS B-1304.",
"CH0895",140,,"Cater and others, 1973, USGS B-1304.",
"CH0896",140,,"Cater and others, 1973, USGS B-1304.",
"CH0897",147,,"Choate, 1961, IGS Mineral Property Files.",
"CH0898",140,,"Cater and others, 1973, USGS B-1304.",
"CH0899",140,,"Cater and others, 1973, USGS B-1304.",
"CH0900",1034,,"USBM, n.d., USBM files.",
"CH0901",140,,"Cater and others, 1973, USGS B-1304.",
"CH0902",1527,,"USGS, Greyhound Ridge 15-min. quad. topo. map.",
"CH0903",140,,"Cater and others, 1973, USGS B-1304.",
"CH0904",140,,"Cater and others, 1973, USGS B-1304.",
"CH0905",140,,"Cater and others, 1973, USGS B-1304.",
"CH0906",140,,"Cater and others, 1973, USGS B-1304.",
"CH0907",140,,"Cater and others, 1973, USGS B-1304.",
"CH0908",140,,"Cater and others, 1973, USGS B-1304.",
"CH0909",140,,"Cater and others, 1973, USGS B-1304.",
"CH0910",140,,"Cater and others, 1973, USGS B-1304.",
"CH0911",140,,"Cater and others, 1973, USGS B-1304.",
"CH0912",1130,,"USBM, n.d., WFOC MPF-30.074.",
"CH0913",140,,"Cater and others, 1973, USGS B-1304.",
"CH0914",1527,,"USGS, Greyhound Ridge 15-min. quad. topo. map.",
"CH0915",140,,"Cater and others, 1973, USGS B-1304.",
"CH0916",140,,"Cater and others, 1973, USGS B-1304.",
"CH0917",140,,"Cater and others, 1973, USGS B-1304.",
"CH0918",140,,"Cater and others, 1973, USGS B-1304.",
"CH0919",140,,"Cater and others, 1973, USGS B-1304.",
"CH0920",140,,"Cater and others, 1973, USGS B-1304.",
"CH0921",140,,"Cater and others, 1973, USGS B-1304.",
"CH0922",140,,"Cater and others, 1973, USGS B-1304.",
"CH0923",140,,"Cater and others, 1973, USGS B-1304.",
"CH0924",140,,"Cater and others, 1973, USGS B-1304.",
"CH0925",140,,"Cater and others, 1973, USGS B-1304.",
"CH0926",140,,"Cater and others, 1973, USGS B-1304.",
"CH0927",140,,"Cater and others, 1973, USGS B-1304.",
"CH0928",140,,"Cater and others, 1973, USGS B-1304.",
"CH0929",140,,"Cater and others, 1973, USGS B-1304.",
"CH0930",140,,"Cater and others, 1973, USGS B-1304.",
"CH0931",140,,"Cater and others, 1973, USGS B-1304.",
"CH0932",140,,"Cater and others, 1973, USGS B-1304.",
"CH0933",140,,"Cater and others, 1973, USGS B-1304.",
"CH0934",140,,"Cater and others, 1973, USGS B-1304.",
"CH0935",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0936",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0937",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0938",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0939",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0940",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0941",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0942",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0943",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0944",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH0945",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0946",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0947",607,,"Lowe and others, 1983, USBM OFR MLA 87-83.",
"CH0948",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0949",607,,"Lowe and others, 1983, USBM OFR MLA 87-83.",
"CH0950",767,,"No reference.",
"CH0951",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0952",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0953",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0954",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0955",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0956",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0957",767,,"No reference.",
"CH0958",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0959",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0960",140,,"Cater and others, 1973, USGS B-1304.",
"CH0961",877,,"Ross, 1934, USGS B-854.",
"CH0962",140,,"Cater and others, 1973, USGS B-1304.",
"CH0963",140,,"Cater and others, 1973, USGS B-1304.",
"CH0964",140,,"Cater and others, 1973, USGS B-1304.",
"CH0965",140,,"Cater and others, 1973, USGS B-1304.",
"CH0966",140,,"Cater and others, 1973, USGS B-1304.",
"CH0967",140,,"Cater and others, 1973, USGS B-1304.",
"CH0968",140,,"Cater and others, 1973, USGS B-1304.",
"CH0969",140,,"Cater and others, 1973, USGS B-1304.",
"CH0970",140,,"Cater and others, 1973, USGS B-1304.",
"CH0971",767,,"No reference.",
"CH0972",128,,"Campbell, 1946, 47th Ann. Rept. of Mining Ind. of Idaho for 1945.",
"CH0973",877,,"Ross, 1934, USGS B-854.",
"CH0974",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0975",1034,,"USBM, n.d., USBM files.",
"CH0976",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0977",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0978",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0979",426,,"Fenne, 1977, Univ. of Idaho M.S. thesis.",
"CH0980",877,,"Ross, 1934, USGS B-854.",
"CH0981",877,,"Ross, 1934, USGS B-854.",
"CH0982",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0983",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0984",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0985",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0986",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0987",869,,"Ridenour and others, 1983, USBM OFR MLA 88-83.",
"CH0988",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0989",869,,"Ridenour and others, 1983, USBM OFR MLA 88-83.",
"CH0990",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0991",140,,"Cater and others, 1973, USGS B-1304.",
"CH0992",140,,"Cater and others, 1973, USGS B-1304.",
"CH0993",590,,"Leszcykowski and others, 1983, USBM OFR MLA 89-83.",
"CH0994",590,,"Leszcykowski and others, 1983, USBM OFR MLA 89-83.",
"CH0995",590,,"Leszcykowski and others, 1983, USBM OFR MLA 89-83.",
"CH0996",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0997",1034,,"USBM, n.d., USBM files.",
"CH0998",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH0999",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1000",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH1001",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH1002",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH1003",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH1004",148,,"Choate, 1962, IBMG P-126.",
"CH1005",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1006",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1007",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1008",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH1009",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1010",871,,"Ridenour, 1985, USBM OFR MLA 64-85.",
"CH1011",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1012",767,,"No reference.",
"CH1013",148,,"Choate, 1962, IBMG P-126.",
"CH1014",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1015",148,,"Choate, 1962, IBMG P-126.",
"CH1016",148,,"Choate, 1962, IBMG P-126.",
"CH1017",148,,"Choate, 1962, IBMG P-126.",
"CH1018",148,,"Choate, 1962, IBMG P-126.",
"CH1019",148,,"Choate, 1962, IBMG P-126.",
"CH1020",148,,"Choate, 1962, IBMG P-126.",
"CH1021",148,,"Choate, 1962, IBMG P-126.",
"CH1022",148,,"Choate, 1962, IBMG P-126.",
"CH1023",148,,"Choate, 1962, IBMG P-126.",
"CH1024",148,,"Choate, 1962, IBMG P-126.",
"CH1025",148,,"Choate, 1962, IBMG P-126.",
"CH1026",148,,"Choate, 1962, IBMG P-126.",
"CH1027",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1028",148,,"Choate, 1962, IBMG P-126.",
"CH1029",1002,,"US Atomic Energy Comm., US Atomic Energy Comm. Custer County Prelim. Reconnaissance Repts.",
"CH1030",148,,"Choate, 1962, IBMG P-126.",
"CH1031",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1032",148,,"Choate, 1962, IBMG P-126.",
"CH1033",148,,"Choate, 1962, IBMG P-126.",
"CH1034",148,,"Choate, 1962, IBMG P-126.",
"CH1035",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1036",148,,"Choate, 1962, IBMG P-126.",
"CH1037",148,,"Choate, 1962, IBMG P-126.",
"CH1038",767,,"No reference.",
"CH1039",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1040",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1041",767,,"No reference.",
"CH1042",148,,"Choate, 1962, IBMG P-126.",
"CH1043",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1044",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1045",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1046",148,,"Choate, 1962, IBMG P-126.",
"CH1047",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1048",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1049",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1050",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1051",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1052",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1053",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1054",148,,"Choate, 1962, IBMG P-126.",
"CH1055",148,,"Choate, 1962, IBMG P-126.",
"CH1056",148,,"Choate, 1962, IBMG P-126.",
"CH1057",148,,"Choate, 1962, IBMG P-126.",
"CH1058",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1059",148,,"Choate, 1962, IBMG P-126.",
"CH1060",1505,,"USGS, East Basin Creek 7.5-min. quad. topo. map.",
"CH1061",148,,"Choate, 1962, IBMG P-126.",
"CH1062",148,,"Choate, 1962, IBMG P-126.",
"CH1063",148,,"Choate, 1962, IBMG P-126.",
"CH1064",148,,"Choate, 1962, IBMG P-126.",
"CH1065",148,,"Choate, 1962, IBMG P-126.",
"CH1066",148,,"Choate, 1962, IBMG P-126.",
"CH1067",148,,"Choate, 1962, IBMG P-126.",
"CH1068",148,,"Choate, 1962, IBMG P-126.",
"CH1069",148,,"Choate, 1962, IBMG P-126.",
"CH1070",148,,"Choate, 1962, IBMG P-126.",
"CH1071",148,,"Choate, 1962, IBMG P-126.",
"CH1072",148,,"Choate, 1962, IBMG P-126.",
"CH1073",148,,"Choate, 1962, IBMG P-126.",
"CH1074",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1075",842,,"Plumb, 1960, USFS Rept. of Mineral Investigation.",
"CH1076",148,,"Choate, 1962, IBMG P-126.",
"CH1077",842,,"Plumb, 1960, USFS Rept. of Mineral Investigation.",
"CH1078",842,,"Plumb, 1960, USFS Rept. of Mineral Investigation.",
"CH1079",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1080",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1081",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1082",148,,"Choate, 1962, IBMG P-126.",
"CH1083",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1084",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1085",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1086",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1087",1468,,"USGS, Bull Trout Point 7.5-min. quad. topo. map.",
"CH1088",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1089",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1090",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1091",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1092",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1093",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1094",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1095",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1096",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1097",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1098",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1099",123,,"Campbell, 1940, 41st Ann. Rept. of Mining Ind. of Idaho for 1939.",
"CH1100",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1101",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1102",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1103",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1104",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1105",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1106",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1107",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"CH1108",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"CH1109",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"CH1110",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"CH1111",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"CH1112",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"CH1113",552,,"Kiilsgaard and others, 1970, USGS B-1319-D.",
"CH1244",1559,,"USGS, Livingston Creek 7.5-min. quad. topo. map.",
"CH1245",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1246",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1247",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1248",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1249",1034,,"USBM, n.d., USBM files.",
"CH1250",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1251",1034,,"USBM, n.d., USBM files.",
"CH1252",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1253",1034,,"USBM, n.d., USBM files.",
"CH1254",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1255",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1256",1016,,"USBM, 1975, Activities of Idaho Mining Properties, 1974.",
"CH1257",639,,"McHugh and others, 1991, USBM OFR MLA 6-91.",
"CH1258",148,,"Choate, 1962, IBMG P-126.",
"CH1259",148,,"Choate, 1962, IBMG P-126.",
"CH1260",148,,"Choate, 1962, IBMG P-126.",
"CH1261",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1262",122,,"Campbell, 1939, 40th Ann. Rept. of Mining Ind. of Idaho for 1938.",
"CH1263",148,,"Choate, 1962, IBMG P-126.",
"CH1264",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1265",148,,"Choate, 1962, IBMG P-126.",
"CH1266",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1267",148,,"Choate, 1962, IBMG P-126.",
"CH1268",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1269",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1270",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1271",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1272",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1273",1477,,"USGS, Challis 1 deg. x 2 deg. quad. (AMS) topo. map.",
"CH1274",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1275",1680,,"Williams, 1961, IBMG P-123.",
"CH1276",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1277",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1278",922,,"Silver Bell Mining Co., 1914, Silver Bell Mining Co. Ann. Rept. to Idaho Inspector of Mines.",
"CH1279",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1280",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1281",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1282",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1283",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1284",557,,"Kiilsgaard, 1949, IBMG P-88.",
"CH1285",767,,"No reference.",
"CH1286",161,,"Cook, 1956, IBMG P-108.",
"CH1287",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1288",522,,"Johnson, 1983, USBM OFR MLA 59-83.",
"CH1289",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1290",878,,"Ross, 1937, USGS B-877.",
"CH1291",1058,,"USBM, n.d., WFOC MPF-03.006.",
"CH1292",1663,,"Van Noy and others, 1986, USGS B-1545-E.",
"CH1293",878,,"Ross, 1937, USGS B-877.",
"CH1294",568,,"Kirkemo and others, 1965, USGS B-1182-E.",
"CH1295",468,,"Green, n.d., Idaho Property Listing.",
"CH1296",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1297",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1298",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1299",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1300",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1301",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1302",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1303",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1304",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1305",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1306",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1307",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1308",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1309",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1310",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1311",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1312",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1313",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1314",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1315",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1316",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"CH1317",834,,"Peters and Gabby, 1992, USBM OFR MLA 9-92.",
"DI0001",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0002",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0003",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0004",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0005",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0006",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0007",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0008",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0009",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0010",37,,"Anderson, 1958, IBMG P-115.",
"DI0011",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0012",989,,"Umpleby, 1913, USGS B-528.",
"DI0013",982,,"Trites and Tooker, 1953, USGS B-988-H.",
"DI0014",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0015",767,,"No reference.",
"DI0016",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0017",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0018",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0019",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0020",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0021",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0022",989,,"Umpleby, 1913, USGS B-528.",
"DI0023",1151,,"USBM, n.d., WFOC MPF-34.032.",
"DI0024",989,,"Umpleby, 1913, USGS B-528.",
"DI0025",989,,"Umpleby, 1913, USGS B-528.",
"DI0026",662,,"Mining and Scientific Press, 1912, v. 105, no. 2, p. 47-49.",
"DI0027",662,,"Mining and Scientific Press, 1912, v. 105, no. 2, p. 47-49.",
"DI0028",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0029",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0030",662,,"Mining and Scientific Press, 1912, v. 105, no. 2, p. 47-49.",
"DI0031",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0032",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0033",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0034",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0035",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0036",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0037",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0038",35,,"Anderson, 1956, IBMG P-106.",
"DI0039",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0040",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0041",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0042",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0043",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0044",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0045",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0046",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0047",1009,,"USBM Liaison Office Rept. of Mining Operations of Idaho for 1972.",
"DI0048",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0049",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0050",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0051",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0052",958,,"Stinson, 1950, Univ. of Idaho M.S. thesis.",
"DI0053",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0054",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0055",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0056",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0057",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0058",605,,"Lorain and Metzger, 1939, USBM IC-7082.",
"DI0059",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0060",38,,"Anderson, 1959, IBMG P-118.",
"DI0061",38,,"Anderson, 1959, IBMG P-118.",
"DI0062",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0063",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0064",602,,"Loen and Pearson, 1989, USGS Map I-1803-C.",
"DI0065",1498,,"USGS, Dillon 1 deg. x 2 deg. quad. (AMS) topo. map.",
