"Reference_ID","Title","YearDate","In","SecondTitle","SecondTitleDate","abstract","Publisher","nd","publisherAbbv","pubCity","pubState","volume","number","edition","Institution","Series_Type","PubNumber","PageCount","PlateCount","SheetCount","Scale","Pages","Hyperlink","YearHyperlink","Anno","EnterDate","EditDate","Initials","Notes","OldReference","Pub_ID","Origin","URL_INTRA","Folder","FileName","URL","URL_Year"
91,"Contributions to economic geology, 1911, Part II, Mineral fuels--Coal at Horseshoe Bend and Jerusalem Valley, Boise County, Idaho","1911",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-531-H",,,,,,,"Bulletin","531-H",,,,,,"http://pubs.usgs.gov/bul/0531h/report.pdf",2015,,,,,,"Bowen, 1913, USGS B-531-H.",,,,,,,
92,"Economic Geology of the Queen Mountain Area, a Part of the Purcell Range, Boundary County, Idaho","1969",FALSE,,,FALSE,"University of Idaho",FALSE,"Thesis",,,,,,,"M.S. Thesis",,,,,,,,,,,,,"IGS Thesis Collection","Brackebusch, 1969, Univ. of Idaho M.S. thesis.",,,,,,,
93,"Oil and Gas Exploration in Idaho","1982",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IGS Map No. 4",,,,,,,"Map","M-4",,,,,,,,,,,,,"Breckenridge, 1982, IGS Map No. 4.","M-4","IGS",,,,,
94,"Contributions to economic geology, 1909, Part I, Metals and nonmetals except fuels--Salines","1910",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-430-I",,,,,,,"Bulletin","430-I",,,,,,"http://pubs.usgs.gov/bul/0430i/report.pdf",2015,,,,,,"Breger, 1910, USGS B-430-I.",,,,,,,
95,"Preliminary Report, Placer Deposits of Central Idaho","1945",FALSE,,,FALSE,,FALSE,"USGS TEI-19",,,,,,,"Preliminary Report","TEI-19",,,,,,,,,,,,"Unable to locate","Brill and Wolfe, 1945, US Atomic Energy Comm. Rept. TEI-19(50).",,,,,,,
96,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Brown, 1975, 1st Ann. Rept. Addendum of Idaho Dept. of Labor & Industrial Services.",,,,,,,
97,"Geology, Mineral Deposits, and Alteration of Parts of the Cuddy Mountain District, Western Idaho","1971",FALSE,,,FALSE,"Oregon State University",FALSE,"Dissertation",,,,,,,"Ph.D. Dissertation",,,,,,,,,,,,,"IGS Thesis Collection","Bruce, 1971, Oregon State Univ. Ph.D. dissertation.",,,,,,,
98,"Mineral Resources of the Little Owyhee River Wilderness Study Area, Owyhee County, Idaho","1985",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 77-85",,,,,,,"Mineral Land Assessment Open File Report","MLA 77-85",,,,,,,,,,,,"IGS USBM Publication Collection","Buehler and Capstick, 1985, USBM OFR MLA 77-85.","MLA 77-85.pdf","USBM",,,,,
99,"Mineral Resources of the Raven's Eye Widerness Study Area, Blaine and Lincoln Counties, Idaho","1986",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 76-86",,,,,,,"Mineral Land Assessment Open File Report","MLA 76-86",,,,,,,,,,,,"IGS USBM Publication Collection","Buehler and Moyle, 1986, USBM OFR MLA 76-86.","MLA 76-86.pdf","USBM",,,,,
100,"Mineral Resources of the Secesh Study Area, Idaho and Valley Counties, Idaho","1993",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 9-93",,,,,,,"Mineral Land Assessment Open File Report","MLA 9-93",,,,,,,,,,,,"IGS USBM Publication Collection","Buehler and others, 1993, USBM OFR MLA 9-93.","MLA 9-93.pdf","USBM",,,,,
101,"Buffalo Hump Mining Report to the Idaho State Mine Inspector","1913",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,"Scanned document not yet available (2015)","Buffalo Hump Mining Co., 1913, Buffalo Hump Mining Co. Ann. Rept. to Idaho Inspector of Mines.",,,,,,,
102,"Contributions to economic geology, 1912; Part I, Metals and nonmetals except fuels-Lead and Zinc","1914",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-540-E",,,,,,,"Bulletin","B-540-E",,,,,,"http://pubs.usgs.gov/bul/0540e/report.pdf",2015,,,,,,"Calkins and Jones, 1914, in USGS B-540-E.",,,,,,,
103,"A geological reconnaissance in northern Idaho and northwestern Montana, with notes on the economic geology","1909",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-384",,,,,,,"Bulletin","B-384",,,,,,"http://pubs.usgs.gov/bul/0384/report.pdf",2015,,,,,,"Calkins, 1909, USGS B-384.",,,,,,,
104,"Strategic minerals investigations, 1941, short papers and preliminary reports. Tungsten resources of the Blue Wing district, Lemhi County, Idaho","1941",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-931-A",,,,,,,"Bulletin","B-931-A",,,,,,"http://pubs.er.usgs.gov/publication/b931A",2015,,,,,,"Callaghan and Lemmon, 1941, USGS B-931-A.",,,,,,,
106,"Geology and mineral deposits of the Twin Crags quadrangle, Idaho","1952",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-1142-A",,,,,,,"Bulletin","B-1142-A",,,,,,"http://pubs.er.usgs.gov/publication/b1142A",2015,,,,,,"Campbell and Good, 1963, USGS B-1142-A.",,,,,,,
107,"23rd Annual Report of  Mining Industry of Idaho for 1921","1922",FALSE,,,FALSE,"State of Idaho",FALSE,"23rd Annual Report of  Mining Industry of Idaho for 1921",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1922, 23rd Ann. Rept. of Mining Ind. of Idaho for 1921.",,,,,,,
108,"24th Annual Report of Mining Industry of Idaho for 1922","1923",FALSE,,,FALSE,"State of Idaho",FALSE,"24th Annual Report of Mining Industry of Idaho for 1922",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1923, 24th Ann. Rept. of Mining Ind. of Idaho for 1922.",,,,,,,
109,"25th Annual Report of Mining Industry of Idaho for 1923","1924",FALSE,,,FALSE,"State of Idaho",FALSE,"25th Annual Report of Mining Industry of Idaho for 1923",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1924, 25th Ann. Rept. of Mining Ind. of Idaho for 1923.",,,,,,,
110,"26th Annual Report of Mining Industry of Idaho for 1924","1925",FALSE,,,FALSE,"State of Idaho",FALSE,"26th Annual Report of Mining Industry of Idaho for 1924",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1925, 26th Ann. Rept. of Mining Ind. of Idaho for 1924.",,,,,,,
111,"27th Annual Report of Mining Industry of Idaho for 1925","1926",FALSE,,,FALSE,"State of Idaho",FALSE,"27th Annual Report of Mining Industry of Idaho for 1925",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1926, 27th Ann. Rept. of Mining Ind. of Idaho for 1925.",,,,,,,
112,"28th Annual Report of Mining Industry of Idaho for 1926","1927",FALSE,,,FALSE,"State of Idaho",FALSE,"28th Annual Report of Mining Industry of Idaho for 1926",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1927, 28th Ann. Rept. of Mining Ind. of Idaho for 1926.",,,,,,,
113,"29th Annual Report of Mining Industry of Idaho for 1927","1928",FALSE,,,FALSE,"State of Idaho",FALSE,"29th Annual Report of Mining Industry of Idaho for 1927",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1928, 29th Ann. Rept. of Mining Ind. of Idaho for 1927.",,,,,,,
114,"30th Annual Report of Mining Industry of Idaho for 1928","1929",FALSE,,,FALSE,"State of Idaho",FALSE,"30th Annual Report of Mining Industry of Idaho for 1928",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1929, 30th Ann. Rept. of Mining Ind. of Idaho for 1928.",,,,,,,
115,"31st Annual Report of  Mining Industry of Idaho for 1929","1930",FALSE,,,FALSE,"State of Idaho",FALSE,"31st Annual Report of  Mining Industry of Idaho for 1929",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1930, 31st Ann. Rept. of Mining Ind. of Idaho for 1929.",,,,,,,
116,"32nd Annual Report of  Mining Industry of Idaho for 1930","1931",FALSE,,,FALSE,"State of Idaho",FALSE,"32nd Annual Report of  Mining Industry of Idaho for 1930",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1931, 32nd Ann. Rept. of Mining Ind. of Idaho for 1930.",,,,,,,
117,"33rd Annual Report of  Mining Industry of Idaho for 1931","1932",FALSE,,,FALSE,"State of Idaho",FALSE,"33rd Annual Report of  Mining Industry of Idaho for 1931",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1932, 33rd Ann. Rept. of Mining Ind. of Idaho for 1931.",,,,,,,
118,"34th Annual Report of Mining Industry of Idaho for 1932","1933",FALSE,,,FALSE,"State of Idaho",FALSE,"34th Annual Report of Mining Industry of Idaho for 1932",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1933, 34th Ann. Rept. of Mining Ind. of Idaho for 1932.",,,,,,,
119,"37th Annual Report of Mining Industry of Idaho for 1935","1936",FALSE,,,FALSE,"State of Idaho",FALSE,"37th Annual Report of Mining Industry of Idaho for 1935",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1936, 37th Ann. Rept. of Mining Ind. of Idaho for 1935.",,,,,,,
120,"38th Annual Report of Mining Industry of Idaho for 1936","1937",FALSE,,,FALSE,"State of Idaho",FALSE,"38th Annual Report of Mining Industry of Idaho for 1936",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1937, 38th Ann. Rept. of Mining Ind. of Idaho for 1936.",,,,,,,
121,"39th Annual Report of Mining Industry of Idaho for 1937","1938",FALSE,,,FALSE,"State of Idaho",FALSE,"39th Annual Report of Mining Industry of Idaho for 1937",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1938, 39th Ann. Rept. of Mining Ind. of Idaho for 1937.",,,,,,,
122,"24th Annual Report of Mining Industry of Idaho for 1938","1939",FALSE,,,FALSE,"State of Idaho",FALSE,"24th Annual Report of Mining Industry of Idaho for 1938",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1939, 40th Ann. Rept. of Mining Ind. of Idaho for 1938.",,,,,,,
123,"41st Annual Report of  Mining Industry of Idaho for 1939","1940",FALSE,,,FALSE,"State of Idaho",FALSE,"41st Annual Report of  Mining Industry of Idaho for 1939",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1940, 41st Ann. Rept. of Mining Ind. of Idaho for 1939.",,,,,,,
124,"42nd Annual Report of  Mining Industry of Idaho for 1940","1941",FALSE,,,FALSE,"State of Idaho",FALSE,"42nd Annual Report of  Mining Industry of Idaho for 1940",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1941, 42nd Ann. Rept. of Mining Ind. of Idaho for 1940.",,,,,,,
125,"43rd Annual Report of  Mining Industry of Idaho for 1941","1942",FALSE,,,FALSE,"State of Idaho",FALSE,"43rd Annual Report of  Mining Industry of Idaho for 1941",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1942, 43rd Ann. Rept. of Mining Ind. of Idaho for 1941.",,,,,,,
126,"45th Annual Report of  Mining Industry Of Idaho for 1943","1944",FALSE,,,FALSE,"State of Idaho",FALSE,"45th Annual Report of  Mining Industry Of Idaho for 1943",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1944, 45th Ann. Rept. of Mining Ind. of Idaho for 1943.",,,,,,,
127,"46th Annual Report of  Mining Industry of Idaho for 1944","1945",FALSE,,,FALSE,"State of Idaho",FALSE,"46th Annual Report of  Mining Industry of Idaho for 1944",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1945, 46th Ann. Rept. of Mining Ind. of Idaho for 1944.",,,,,,,
128,"47th Annual Report of  Mining Industry of Idaho for 1945","1946",FALSE,,,FALSE,"State of Idaho",FALSE,"47th Annual Report of  Mining Industry of Idaho for 1945",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1946, 47th Ann. Rept. of Mining Ind. of Idaho for 1945.",,,,,,,
129,"48th Annual Report of  Mining Industry of Idaho for 1946","1947",FALSE,,,FALSE,"State of Idaho",FALSE,"48th Annual Report of  Mining Industry of Idaho for 1946",,,,,,,"Report",,,,,,,,,,,,,"In IGS Library","Campbell, 1947, 48th Ann. Rept. of Mining Ind. of Idaho for 1946.",,,,,,,
130,"The Dixie Placer District With Notes on the Lode Mines","1939",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-48",,,,,,,"Pamphlet","P-48",,,,,,,,,,,,,"Capps and Roberts, 1939, IBMG P-48.","P-48","IGS",,,,,
131,"Gold Placers of the Secesh Basin, Idaho County, Idaho","1940",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-52",,,,,,,"Pamphlet","P-52",,,,,,,,,,,,,"Capps, 1940, IBMG P-52.","P-52","IGS",,,,,
132,"Mineral Resources of the Deep Creek-Owyhee River Study Area, Owyhee County, Idaho","1985",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 54-85",,,,,,,"Open File Report Mineral Land Appraisal","MLA 54-85",,,,,,,,,,,,"IGS USBM Publication Collection","Capstick and Buehler, 1985, USBM OFR MLA 54-85.","MLA 54-85.pdf","USBM",,,,,
133,"Mineral Resources of the Borah Peak Study Area, Custer County, Idaho","1987",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 79-87",,,,,,,"Open File Report Mineral Land Appraisal","MLA 79-87",,,,,,,,,,,,"IGS USBM Publication Collection","Capstick and others, 1987, USBM OFR MLA 79-87.","MLA 79-87.pdf","USBM",,,,,
134,"Mineral Resources of the Upper Deep Creek Study Area, Owyhee County, Idaho","1986",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 73-86",,,,,,,"Open File Report Mineral Land Appraisal","MLA 73-86",,,,,,,,,,,,"IGS USBM Publication Collection","Capstick, 1986, USBM OFR MLA 73-86.","MLA 73-86.pdf","USBM",,,,,
135,"Vien Structure in the Monument Mine","1909",FALSE,,,FALSE,"Mining and Scientific Press",FALSE,"Mining and Scientific Press, v. 98, no. 16",,,"98","16",,,"Periodical",,,,,,,"https://archive.org/stream/miningscien98unse page/n667/mode/2up#",2015,,,,,,"Carr, 1909, Mining and Sci. Press, v. 98, no. 16.",,,,,,,
137,"Mineral and Water Resources in Idaho:  Silica","1964",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG SR-1",,,,,,,"Special Report","MISC-0",,,,,,,,,,,,,"Carter and Savage, 1964, in IBMG SR-1.","MISC-0","IGS",,,,,
140,"Mineral Resources of the Idaho Primitive Area:  An evaluation of the mineral potential of the area","1973",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-1304",,,,,,,"Bulletin","B-1304",,,,,,"http://pubs.er.usgs.gov/publication/b1304",2015,,,,,,"Cater and others, 1973, USGS B-1304.",,,,,,,
141,"Mineral resources of the Clear Creek-Upper Big Deer Creek study area, contiguous to the Idaho Primitive Area, Lemhi County, Idaho","1975",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-1391-C",,,,,,,"Bulletin","B-1391-C",,,,,,"http://pubs.er.usgs.gov/publication/b1391C",2015,,,,,,"Cater and others, 1975, USGS B-1391-C.",,,,,,,
142,"Mineral Resources of the Lemhi Range Study Area, Lemhi and Custer Counties, Idaho","1988",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 8-88",,,,,,,"Mineral Land Assessment Open File Report","MLA 8-88",,,,,,,,,,,,"IGS USBM Publication Collection","Cather and Rains, 1988, USBM OFR MLA 8-88.","MLA 8-88.pdf","USBM",,,,,
143,"Mineral Resource Investigation of the Mallard Larkins Study Area, Clearwater and Shoshone Counties, Idaho","1993",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 3-93",,,,,,,"Mineral Land Assessment Open File Report","MLA 3-93",,,,,,,,,,,,"IGS USBM Publication Collection","Causey and Marks, 1993, USBM OFR MLA 3-93.","MLA 3-93.pdf","USBM",,,,,
144,"Mineral Resource Investigation of the Peace Rock and Deadwood River Roadless Areas, Boise and Valley Counties, Idaho","1993",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 22-93",,,,,,,"Mineral Land Assessment Open File Report","MLA 22-93",,,,,,,,,,,,"IGS USBM Publication Collection","Causey, 1993, USBM OFR MLA 22-93.","MLA 22-93.pdf","USBM",,,,,
145,"Cherry Creek Mining and Milling Annual Report","1915",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,"Scanned document not yet available (2015)","Cherry Creek Gold Mining and Milling Company, 1915, Cherry Creek Gold Mining and Milling Co. Ann. Rept. to Idaho Inspector of Mines.",,,,,,,
146," 	Maps showing mineral occurrence data for the Wallace 1 degree by 2 degrees Quadrangle, Montana and Idaho","1984",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS Map MF-1354-F",,,,,,,"USGS Map","MF-1354-F",,,,,,"http://pubs.er.usgs.gov/publication/mf1354F",2015,,,,,,"Chesson and others, 1984, USGS Map MF-1354-F.",,,,,,,
147,"IBMG Summary Report of Examination:  Mine or Mineral Deposit","1961",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG Report of Examination",,,,,,,"Report",,,,,,,,,,,,,"Scanned document not yet available (2015)","Choate, 1961, IGS Mineral Property Files.",,,,,,,
148,"Geology and Ore Deposits of the Stanley Area","1962",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-126",,,,,,,"Pamphlet","P-126",,,,,,,,,,,,,"Choate, 1962, IBMG P-126.","P-126","IGS",,,,,
149,"Report of Investigation:  JV0120",,FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"Report of Investigation",,,,,,,"Report",,,,,,,,,,,,,"Scanned document not yet available (2015)","Choate, n.d., IGS Mineral Property Files.",,,,,,,
150,"Christy Report to the Idaho State Mine Inspector","1954",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,"Scanned document not yet available (2015)","Christy, 1954, Rept. to Idaho Inspector of Mines.",,,,,,,
151,"Mineral Resources of the Moyie River Basin, Idaho","1975",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"Unpublished MLA",,,,,,,"Report",,,,,,,,,,,,,"IGS USBM Publication Collection","Close and others, 1975, USBM unpublished report.",,,,,,,
152,"Summary Report:  Mineral Resources of the Hells Canyon Study Area, Adams, Idaho, and Nez Perce Counties, Idaho and Wallowa County, Oregon","1982",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 41-82",,,,,,,"Report","MLA 41-82",,,,,,,,,,,,"IGS USBM Publication Collection","Close and others, 1982, USBM OFR MLA 41-82.","MLA 41-82.pdf","USBM",,,,,
153,"Mineral Resources of the Elk Summit Study Area, Idaho County, Idaho","1993",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 11-93",,,,,,,"Mineral Land Assessment Open File Report","MLA 11-93",,,,,,,,,,,,"IGS USBM Publication Collection","Close, 1993, USBM OFR MLA 11-93.","MLA 11-93.pdf","USBM",,,,,
154,"Mineral Resouces of the Rapid River Study Area, Adams County, Idaho","1993",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 28-93",,,,,,,"Mineral Land Assessment Open File Report","MLA 28-93",,,,,,,,,,,,"IGS USBM Publication Collection","Close, 1993, USBM OFR MLA 28-93.","MLA 28-93.pdf","USBM",,,,,
155,"Mineral Resources of the Red Mountain Roadless Area, Boise, Custer, and Valley Counties, Idaho","1993",FALSE,,,FALSE,"U.S. Bureau of Mines",FALSE,"USBM OFR MLA 4-93",,,,,,,"Mineral Land Assessment Open File Report","MLA 4-93",,,,,,,,,,,,"IGS USBM Publication Collection","Close, 1993, USBM OFR MLA 4-93.","MLA 4-93.pdf","USBM",,,,,
156,"Coeur d'Alene Central Mining & Milling ISMIR","1913",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,"Scanned Document not yet available (2015)","Coeur d'Alene Central Mining & Milling Co., 1913, Coeur d'Alene Central Mining & Milling Co. Ann. Rept. to Idaho Indpector of Mines.",,,,,,,
157,"Contributions to Economic Geology, 1905:  Copper.: Ore Deposits in the St. Joe River River Basin, Idaho","1906",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-285-B",,,,,,,"Bulletin","B-285-B",,,,,,"http://pubs.usgs.gov/bul/0285b/report.pdf",2015,,,,,,"Collier, 1906, in USGS B-285-B.",,,,,,,
158,"Continental Mining ISMIR","1913",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,"Scanned Document not yet available (2015)","Continental Mining Co., 1913, Continental Mining Co. Rept. to Idaho Inspector of Mines.",,,,,,,
159,"Mining Geology of the Seven Devils Region","1954",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-97",,,,,,,"Pamphlet","P-97",,,,,,,,,,,,,"Cook, 1954, IBMG P-97.","P-97","IGS",,,,,
160,"Prospecting for Uranium, Thorium, and Tungsten in Idaho","1955",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-102",,,,,,,"Pamphlet","P-102",,,,,,,,,,,,,"Cook, 1955, IBMG P-102.","P-102","IGS",,,,,
161,"Tungsten Deposits of South-Central Idaho","1956",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-108",,,,,,,"Pamphlet","P-108",,,,,,,,,,,,,"Cook, 1956, IBMG P-108.","P-108","IGS",,,,,
162,"Geology of the tungsten, antimony, and Gold Deposites near Sitibnite, Idaho","1951",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-969-F",,,,,,,"Bulletin","B-969-F",,,,,,"https://pubs.er.usgs.gov/publication/b969F",2015,,,,,,"Cooper, 1951, USGS B-969-F.",,,,,,,
366,"DMEA-4366:  Smothers Property","1956",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4366",,,,,,,,"DMEA-4366",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4366_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4366",,,,,,,
367,"DMEA-4412:  Triumph Mine","1956",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4412",,,,,,,,"DMEA-4412",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4412_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4412",,,,,,,
368,"DMEA-4455:  Emma Group","1956",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4455",,,,,,,,"DMEA-4455",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4455_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4455",,,,,,,
369,"DMEA-4479:  Big Copper No.  1,2 and 3 Claims","1956",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4479",,,,,,,,"DMEA-4479",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4479_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4479",,,,,,,
370,"DMEA-4495:  Clayton View Claims","1956",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4495",,,,,,,,"DMEA-4495",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4495_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4495",,,,,,,
371,"DMEA-4504:  Wild Horse Mine","1956",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4504",,,,,,,,"DMEA-4504",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4504_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4504",,,,,,,
372,"DMEA-4505:  Ironside, et al., Claims","1956",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4505",,,,,,,,"DMEA-4505",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4505_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4505",,,,,,,
373,"DMEA-4521:  El Dorado Claims","1956",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4521",,,,,,,,"DMEA-4521",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4521_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4521",,,,,,,
374,"DMEA-4531:   	Pocahontas 1,2,3,4.","1956",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4531",,,,,,,,"DMEA-4531",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4531_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4531",,,,,,,
375,"DMEA-4552:  New York Mines","1956",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4552",,,,,,,,"DMEA-4552",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4552_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4552",,,,,,,
376,"DMEA-4599:  Nest Egg No. 1 & 2, Claims","1956",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4599",,,,,,,,"DMEA-4599",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4599_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4599",,,,,,,
377,"DMEA-4659:  Clayton Mine","1957",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4659",,,,,,,,"DMEA-4659",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4659_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4659",,,,,,,
378,"DMEA-4698:  Lost Cabin Mine","1957",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4698",,,,,,,,"DMEA-4698",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4698_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4698",,,,,,,
379,"DMEA-4712:   East Page Mine","1957",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4712",,,,,,,,"DMEA-4712",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4712_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4712",,,,,,,
380,"DMEA-4753:  Hermes Mecury Mine","1957",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4753",,,,,,,,"DMEA-4753",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4753_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4753",,,,,,,
381,"DMEA-4754:  Mother Lode, et al., Claims","1957",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4754",,,,,,,,"DMEA-4754",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4754_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4754",,,,,,,
382,"DMEA-4808:  Little Senator Mine","1957",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"DMEA-4808",,,,,,,,"DMEA-4808",,,,,,"http://minerals.usgs.gov/dockets/scans/id/dmea/4808_DMEA.pdf",2015,,,,,,"Defense Mineral Exploration Administration-4808",,,,,,,
