"ID","SequenceNumber","NEWLOC","DEPOSIT","REFNAME","DESC_CHANGE","DATE_CHANGE","BASIS_CHANGE","RESEARCHER","ADD_NOTES","CLEANUP_Y_","Query_or_Sort","PreviousDatabseName"
90,"DR0193","DR0170","Silver Star Mine",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
91,"DR0194","DR0178","Northern Light Extension Mine",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
92,"DR0195","DR0178","Orphan Boy Mine",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
93,"DR0196","DR0178","Paymaster Mine",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
94,"DR0197","DR0178","Virginia Mine",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
95,"DU0230","DU0230","deleted",,"Removed property from Mines table because deposite labled 'deleted'.","20141118","Deleted deposit","CAT",,"Y","[Mines.deposit]=""deleted""","MinesAndProspects_BrainSaladSurgery_CAT_20141118_CURRENT_1230"
96,"DU0279",,"deleted",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
97,"DU0280",,"deleted",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
98,"DU0281",,"deleted",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
99,"DU0282",,"deleted",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
100,"DU0285",,"deleted",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
101,"DU0336",,"Digmore",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
102,"DU0373","DU0230","deleted",,"Removed property from Mines table because deposite labled 'deleted'.","20141118","Deleted deposit","CAT",,"Y","[Mines.deposit]=""deleted""","MinesAndProspects_BrainSaladSurgery_CAT_20141118_CURRENT_1230"
103,"DU0512",,"deleted",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
104,"DU0571",,"Unnamed prospect (Site No. B7170305)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
105,"DU0572",,"Unnamed prospect (Site No. B7170306)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
106,"DU0573",,"Unnamed prospect (Site No. B7250303)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
107,"DU0574",,"Unnamed prospect (Site No. B7260303)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
108,"DU0575",,"Unnamed prospect (Site No. B7270307)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
109,"DU0576",,"Unnamed prospect (Site No. B7270308)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
110,"DU0577",,"Unnamed mine (Site No. B7270310)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
111,"DU0578",,"Valley View (Weimer Mine)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
112,"DU0579",,"Unnamed mine (Site No. B7280303)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
113,"DU0580",,"Unnamed prospect (Waypoint 38)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
114,"DU0581",,"Unnamed prospect (Site No. B7130304)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
115,"DU0582",,"Unnamed prospect (Waypoint 41)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
116,"DU0583",,"Unnamed prospect (Waypoint 42)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
117,"DU0584",,"Unnamed propsect (Waypoint 43)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
118,"DU0585",,"Unnamed prospect (Waypoint 44)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
119,"DU0586",,"Unnamed prospect (Site No. B7130305)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
120,"DU0587",,"Unnamed prospect (Waypoint 47)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
121,"DU0588",,"Unnamed prospect (Site No. B7130305)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
122,"DU0589",,"Unnamed prospect (Site No. B7130308)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
123,"DU0590",,"Unnamed prospect (Site No. B7140310)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
124,"DU0591",,"Unnamed prospect (Site No. B7140311)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
125,"DU0592",,"Unnamed prospect (Site No. B7140312)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
126,"DU0603","DU0412","Jack",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
127,"DU0604","DU0412","Utah",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
128,"EC0016p","EC0016","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
129,"EC0051p","EC0051","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
130,"EC0058p","EC0058","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
131,"EC0062p","EC0062","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
132,"EC0067","EC0067","deleted",,"Removed property from Mines table because deposite labled 'deleted'.","20141118","Deleted deposit","CAT",,"Y","[Mines.deposit]=""deleted""","MinesAndProspects_BrainSaladSurgery_CAT_20141118_CURRENT_1230"
133,"EC0078","EC0078","deleted",,"Removed property from Mines table because deposite labled 'deleted'.","20141118","Deleted deposit","CAT",,"Y","[Mines.deposit]=""deleted""","MinesAndProspects_BrainSaladSurgery_CAT_20141118_CURRENT_1230"
134,"EC0203p","EC0203","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
135,"EC0373",,"deleted",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
136,"EC0499p","EC0499","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
137,"EC0514p","EC0514","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
138,"EC0517",,"deleted",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
139,"EC0520p","EC0520","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
140,"EC0540p","EC0540","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
141,"EC0602p","EC0602","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
142,"EC0632p","EC0632","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
143,"EC0635p","EC0635","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
144,"EC0642p","EC0642","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
145,"EC0648",,"Grouse Creek Placer (Gross Creek Placer)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
146,"EC0652","EC0652","French Creek (Deleted as per discussion with J. Ridenour 11/22/93)",,"Deleted from Mines table. Cascade delete is in effect!","20141119","French Creek (Deleted as per discussion with J. Ridenour 11/22/93)","CAT",,"Y","Sort A-Z Mines table lon_WGS84 field","MinesAndProspects_BrainSaladSurgery_CAT_20141119_CURRENT_0700"
147,"EC0660p","EC0660","placer production",," Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
148,"EC0684p","EC0684","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
149,"EC0732p","EC0732","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
150,"EC0749p","EC0749","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
151,"EC0761p","EC0761","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
152,"EC0783p","EC0783","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
153,"EC0789p","EC0789","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
154,"EC1175p","EC1175","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
155,"EC1185p","EC1185","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
156,"EC1255",,"Dawson-Hugo/M & E Claims (B7149904)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
157,"EC1257",,"Unnamed Prospect (B7159906)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
158,"EC1258",,"Unnamed Prospect (B7159907)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
159,"EC1259",,"Republican Mine (B7159910)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
160,"EC1260",,"Penn-Dixie Mine, Upper Adit (B7169901)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
161,"EC1261",,"Juanita No. 5 (Dixie Chief Mine; Portland Group; Blue Bucket; Unnamed Prospect B7139903)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
162,"EC1262",,"Aziscoos (Unnamed Prospect B7169904)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
163,"EC1263",,"Unnamed Mine (B7169906)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
